id,country
1,US
2,US
3,CA
4,US
5,US
6,US
7,GB
8,US
9,CA
10,DE
11,GB
12,GB
13,US
14,GB
15,US
16,US
17,DE
18,CA
19,US
20,GB
21,GB
22,GB
23,CA
24,CA
25,DE
26,GB
27,US
28,GB
29,CA
30,GB
31,CA
32,CA
33,US
34,CA
35,DE
36,GB
37,GB
38,GB
39,DE
40,DE
41,US
42,CA
43,CA
44,US
45,GB
46,GB
47,DE
48,US
49,DE
50,GB
51,GB
52,US
53,CA
54,CA
55,CA
56,DE
57,GB
58,CA
59,CA
60,GB
61,US
62,GB
63,DE
64,DE
65,CA
66,GB
67,CA
68,CA
69,US
70,US
71,CA
72,US
73,GB
74,DE
75,DE
76,CA
77,DE
78,DE
79,CA
80,US
81,DE
82,DE
83,US
84,CA
85,GB
86,CA
87,DE
88,US
89,CA
90,DE
91,DE
92,GB
93,DE
94,DE
95,GB
96,DE
97,CA
98,GB
99,US
100,CA
101,US
102,US
103,US
104,US
105,DE
106,DE
107,CA
108,US
109,DE
110,DE
111,DE
112,CA
113,DE
114,GB
115,CA
116,US
117,DE
118,CA
119,DE
120,DE
121,US
122,US
123,CA
124,US
125,DE
126,GB
127,CA
128,CA
129,DE
130,US
131,GB
132,US
133,CA
134,CA
135,CA
136,CA
137,CA
138,GB
139,GB
140,CA
141,US
142,DE
143,US
144,CA
145,US
146,CA
147,DE
148,US
149,CA
150,DE
151,CA
152,DE
153,GB
154,US
155,CA
156,CA
157,US
158,CA
159,DE
160,CA
161,CA
162,GB
163,US
164,GB
165,CA
166,DE
167,CA
168,CA
169,DE
170,GB
171,GB
172,GB
173,CA
174,US
175,GB
176,GB
177,DE
178,GB
179,CA
180,US
181,CA
182,US
183,DE
184,CA
185,DE
186,GB
187,DE
188,DE
189,DE
190,CA
191,GB
192,US
193,CA
194,US
195,GB
196,CA
197,DE
198,CA
199,CA
200,GB
201,US
202,DE
203,CA
204,DE
205,US
206,US
207,US
208,DE
209,US
210,GB
211,CA
212,CA
213,DE
214,DE
215,CA
216,US
217,CA
218,US
219,DE
220,DE
221,DE
222,DE
223,DE
224,CA
225,CA
226,GB
227,US
228,DE
229,GB
230,US
231,GB
232,GB
233,US
234,US
235,GB
236,GB
237,GB
238,GB
239,DE
240,US
241,US
242,CA
243,CA
244,DE
245,DE
246,GB
247,GB
248,DE
249,CA
250,GB
251,DE
252,GB
253,GB
254,US
255,CA
256,US
257,CA
258,GB
259,GB
260,US
261,GB
262,US
263,GB
264,DE
265,DE
266,DE
267,US
268,CA
269,DE
270,DE
271,GB
272,DE
273,US
274,GB
275,US
276,US
277,DE
278,US
279,US
280,CA
281,GB
282,GB
283,DE
284,GB
285,US
286,GB
287,DE
288,US
289,US
290,DE
291,US
292,US
293,DE
294,CA
295,US
296,US
297,US
298,CA
299,GB
300,US
301,US
302,CA
303,US
304,GB
305,CA
306,GB
307,DE
308,DE
309,DE
310,GB
311,DE
312,CA
313,DE
314,DE
315,CA
316,US
317,US
318,CA
319,DE
320,DE
